run,model,micro_f1
1,Ælæctra Cased,0.8807189542483661
2,Ælæctra Cased,0.8762844225236333
3,Ælæctra Cased,0.8749480681346073
4,Ælæctra Cased,0.8625106746370623
5,Ælæctra Cased,0.8848080133555927
1,Ælæctra Uncased,0.8943993159469859
2,Ælæctra Uncased,0.8737351517817862
3,Ælæctra Uncased,0.8850174216027875
4,Ælæctra Uncased,0.8891774891774892
5,Ælæctra Uncased,0.8757549611734253
1,DaBERT,0.883419689119171
2,DaBERT,0.9052721817402486
3,DaBERT,0.901541095890411
4,DaBERT,0.8995215311004784
5,DaBERT,0.827952233524989
1,mBERT Cased,0.8590710599444223
2,mBERT Cased,0.8951644100580272
3,mBERT Cased,0.8988341481760062
4,mBERT Cased,0.8697332817935832
5,mBERT Cased,0.871405750798722
1,mBERT Uncased,0.8441558441558441
2,mBERT Uncased,0.8694201084689195
3,mBERT Uncased,0.8520102651839179
4,mBERT Uncased,0.8796680497925311
5,mBERT Uncased,0.864
